product_group,goc,pol_num,pre_ann,sum_assd,loan_sa
CEPL___USD,CEPL___AZID_AG_L_USD_NI_2014_IF,31,49441.2,134670,596.03
CEPLA__IDR,CEPLA__AZID_AG_L_IDR_NI_2014_IF,171,57802068,919500000,11
CEPNTR_IDR,CEPNTR_BCI_NK_L_IDR_NI_2023_IF,4,1300000000,1872000000,0
CEPNTR_IDR,CEPNTR_BCI_NK_L_IDR_NI_2024_IF,2,880000000,1328800000,0
CEPNTR_IDR,CEPNTR_BCI_NK_L_IDR_NI_2025_Q1,2,350000000,556500000,0
CEPNTR_USD,CEPNTR_BCI_NK_L_USD_NI_2023_IF,5,365000,498850,0
CEPNTR_USD,CEPNTR_BCI_NK_L_USD_NI_2024_IF,2,20000,26200,0
CEPNTR_IDR,CEPNTR_BJB_NK_L_IDR_NI_2024_IF,1,100000000,151000000,0
CEPNTR_USD,CEPNTR_BJB_NK_L_USD_NI_2024_IF,1,10000,13100,0
CEPNTR_IDR,CEPNTR_BTPN_NK_L_IDR_NI_2023_IF,89,17180000000,24739200000,0
CEPNTR_IDR,CEPNTR_BTPN_NK_L_IDR_NI_2024_IF,188,38410000000,57837900000,0
CEPNTR_IDR,CEPNTR_BTPN_NK_L_IDR_NI_2025_Q1,54,9130000000,14287100000,0
CEPNTR_USD,CEPNTR_BTPN_NK_L_USD_NI_2023_IF,19,525500,695665,0
CEPNTR_USD,CEPNTR_BTPN_NK_L_USD_NI_2024_IF,31,689000,900840,0
CEPNTR_USD,CEPNTR_BTPN_NK_L_USD_NI_2025_Q1,16,186000,243660,0
CEPNTR_IDR,CEPNTR_HANA_NK_L_IDR_NI_2025_Q1,1,150000000,238500000,0
CEPNTR_IDR,CEPNTR_HSBC_KT_L_IDR_NI_2023_IF,63,20480000000,29491200000,0
CEPNTR_IDR,CEPNTR_HSBC_KT_L_IDR_NI_2024_IF,52,12360000000,18211000000,0
CEPNTR_IDR,CEPNTR_HSBC_KT_L_IDR_NI_2025_Q1,5,1730000000,2750700000,0
