product_group;goc;pol_num;pre_ann;sum_assd;loan_sa;;
CEHPST_IDR;CEHPST_HSBC_KT_L_IDR_NO_2022_IF;250;18704105700;1,45295E+11;0;;
CEHPST_IDR;CEHPST_HSBC_KT_L_IDR_NO_2023_IF;508;45021935700;4,0958E+11;0;;
CEHPST_IDR;CEHPST_HSBC_KT_L_IDR_NO_2024_IF;267;22273453070;1,76405E+11;0;;
CEHPST_IDR;CEHPST_HSBC_KT_L_IDR_NO_2025_Q1;45;3834823760;36090640000;0;;
CEHPST_IDR;CEHPST_HSBC_KT_L_IDR_NO_2025_Q2;51;5084201900;44162000000;0;;
CEHT___IDR;CEHT___AZID_AG_L_IDR_NI_2014_IF;71;14780006;126300000;-44;;
CEME___IDR;CEME___AZID_AG_L_IDR_PI_2014_IF;1000;3739989888.91;23767118118;1101651527;;
CEME___IDR;CEME___AZID_AG_L_IDR_PI_2015_IF;22;115715875;902500000;22933372;;
CEME___IDR;CEME___AZID_AG_L_IDR_PI_2016_IF;27;1210821312;2649643161;19021925;;
CEME___USD;CEME___AZID_AG_L_USD_PI_2014_IF;9;94664.05;93500;8531.16;;
CEME___IDR;CEME___EAGLE_AG_L_IDR_PI_2016_IF;1;6246600;60000000;0;;
CEME___IDR;CEME___SPRING_AG_L_IDR_PI_2014_IF;7;22414620;195855599;12383727;;
CEME___IDR;CEME___SPRING_AG_L_IDR_PI_2016_IF;4;42000000;388044008;0;;
CEME___USD;CEME___SPRING_AG_L_USD_PI_2014_IF;1;1541.98;11000;0;;
CEMF50_IDR;CEMF50_AZID_AG_L_IDR_PI_2014_IF;188;1329341294;9992100000;514657278;;
CEMF50_IDR;CEMF50_AZID_AG_L_IDR_PI_2015_IF;2;6616000;100000000;19730900;;
CEMF50_USD;CEMF50_AZID_AG_L_USD_PI_2014_IF;5;52112.75;145000;0;;
CEMF50_IDR;CEMF50_SPRING_AG_L_IDR_PI_2016_IF;2;62964000;250000000;0;;
CEMF55_IDR;CEMF55_AZID_AG_L_IDR_PI_2014_IF;175;1198252567;6987599051;438877815;;
CEMF55_IDR;CEMF55_AZID_AG_L_IDR_PI_2016_IF;1;6712500;75000000;0;;
CEMF55_USD;CEMF55_AZID_AG_L_USD_PI_2014_IF;2;3097.3;10000;0;;
CEMF55_IDR;CEMF55_SPRING_AG_L_IDR_PI_2014_IF;2;44687000;155000000;0;;
CEMF60_IDR;CEMF60_AZID_AG_L_IDR_PI_2014_IF;36;239277223;1190212855;49833530;;
CEMF60_USD;CEMF60_AZID_AG_L_USD_PI_2014_IF;1;1356.35;5000;0;;
CEMFP1_IDR;CEMFP1_PERMATA_NK_L_IDR_PI_2014_IF;8;686335930;1882000000;0;;
CEMFP2_IDR;CEMFP2_PERMATA_NK_L_IDR_PI_2014_IF;21;540568650;1701000000;126414518;;
CEMFP3_IDR;CEMFP3_PERMATA_NK_L_IDR_PI_2014_IF;9;53647250;250000000;0;;
CEMPST_IDR;CEMPST_MAYBANK_NK_L_IDR_NO_2020_IF;19;184994600;3946000000;6170000;;
CEMPST_IDR;CEMPST_MAYBANK_NK_L_IDR_NO_2021_IF;64;1121168430;19907000000;0;;
CEMPST_IDR;CEMPST_MAYBANK_NK_L_IDR_NO_2022_IF;61;1745692780;21455000000;0;;
CEMPST_IDR;CEMPST_MAYBANK_NK_L_IDR_NO_2023_IF;126;4269423508;43017955321;0;;
CEMPST_IDR;CEMPST_MAYBANK_NK_L_IDR_NO_2024_IF;64;3336092942;38670928366;0;;
CEMPST_IDR;CEMPST_MAYBANK_NK_L_IDR_NO_2025_Q1;12;580550000;3920000000;0;;
CEMPST_IDR;CEMPST_MAYBANK_NK_L_IDR_NO_2025_Q2;22;1457820800;14004000000;0;;
CEPL___IDR;CEPL___AZID_AG_L_IDR_NI_2014_IF;2534;478617375;5357900000;2906212;;
CEPL___USD;CEPL___AZID_AG_L_USD_NI_2014_IF;31;49441.2;134670;596.03;;
CEPLA__IDR;CEPLA__AZID_AG_L_IDR_NI_2014_IF;173;58808440;923700000;11;;
CEPNTR_IDR;CEPNTR_BCI_NK_L_IDR_NI_2023_IF;4;1300000000;1872000000;0;;
CEPNTR_IDR;CEPNTR_BCI_NK_L_IDR_NI_2024_IF;2;880000000;1328800000;0;;
CEPNTR_IDR;CEPNTR_BCI_NK_L_IDR_NI_2025_Q1;2;350000000;556500000;0;;
CEPNTR_IDR;CEPNTR_BCI_NK_L_IDR_NI_2025_Q2;2;550000000;874500000;0;;
CEPNTR_USD;CEPNTR_BCI_NK_L_USD_NI_2023_IF;5;365000;498850;0;;
CEPNTR_USD;CEPNTR_BCI_NK_L_USD_NI_2024_IF;2;20000;26200;0;;
CEPNTR_USD;CEPNTR_BCI_NK_L_USD_NI_2025_Q2;3;70000;91700;0;;
CEPNTR_IDR;CEPNTR_BJB_NK_L_IDR_NI_2024_IF;1;100000000;151000000;0;;
CEPNTR_USD;CEPNTR_BJB_NK_L_USD_NI_2024_IF;1;10000;13100;0;;
CEPNTR_IDR;CEPNTR_BTPN_NK_L_IDR_NI_2023_IF;89;17180000000;24739200000;0;;
CEPNTR_IDR;CEPNTR_BTPN_NK_L_IDR_NI_2024_IF;188;38410000000;57837900000;0;;
CEPNTR_IDR;CEPNTR_BTPN_NK_L_IDR_NI_2025_Q1;52;8910000000;13946900000;0;;
CEPNTR_IDR;CEPNTR_BTPN_NK_L_IDR_NI_2025_Q2;40;7050000000;11209500000;0;;
