product_group,goc,pol_num,pre_ann,sum_assur,total_fund
ULAPO3_IDR,ULAPO3_AZID_AG_IDR_SH_2017_IF,597,4263363331.71404764,178867000000,7392926859.698902
ULAPO3_IDR,ULAPO3_AZID_AG_IDR_SH_2018_IF,467,4480434596,138446500000,7229708042.900651
ULAPO3_IDR,ULAPO3_AZID_AG_IDR_SH_2019_IF,65,659236000,18505000000,824733144.40897
ULAPO3_IDR,ULAPO3_EAGLE_AG_IDR_SH_2015_IF,65,598940000,17314000000,1183766897.037731
ULAPO3_IDR,ULAPO3_EAGLE_AG_IDR_SH_2016_IF,889,7374747988,273090000000,14358636042.520964
ULAPO3_IDR,ULAPO3_EAGLE_AG_IDR_SH_2017_IF,1435,12876300366.06587328,470914332152,20150481423.643389
ULAPO3_IDR,ULAPO3_EAGLE_AG_IDR_SH_2018_IF,1672,14977722239.22717372,475702780500,22994229924.512447
ULAPO3_IDR,ULAPO3_EAGLE_AG_IDR_SH_2019_IF,143,1212624000,33657500000,1608978007.631731
ULAPO3_IDR,ULAPO3_SPRING_AG_IDR_SH_2015_IF,392,3217490012,155114840000,6406331526.45121
ULAPO3_IDR,ULAPO3_SPRING_AG_IDR_SH_2016_IF,954,7822158280,394749779199,14113767647.104723
ULAPO3_IDR,ULAPO3_SPRING_AG_IDR_SH_2017_IF,955,7534966420,359145400000,13051341309.445718
ULAPO3_IDR,ULAPO3_SPRING_AG_IDR_SH_2018_IF,724,5829956000,290134200000,9665495431.796376
ULAPO3_IDR,ULAPO3_SPRING_AG_IDR_SH_2019_IF,51,469644000,17607000000,550667362.241256
ULAPO3A_IDR,ULAPO3A_AZID_AG_IDR_SH_2021_IF,2,9881760,325000000,12018933.698667
ULAPO4_IDR,ULAPO4_AZID_AG_IDR_SH_2015_IF,225,3390269992,70155400000,5284626972.176421
ULAPO4_IDR,ULAPO4_AZID_AG_IDR_SH_2016_IF,559,7635736648,196983800000,11251899288.756167
ULAPO4_IDR,ULAPO4_AZID_AG_IDR_SH_2017_IF,517,7260305426.523149,173940000000,9921562499.882824
ULAPO4_IDR,ULAPO4_AZID_AG_IDR_SH_2018_IF,436,6917514000,144832300000,8373955660.325301
